1.14.99.53	GH18
2.4.1.2	GH15
2.4.1.4	GH13
2.4.1.5	GH70
2.4.1.7	GH13
2.4.1.8	GH65
2.4.1.9	GH68
2.4.1.10	GH32 GH68
2.4.1.12	GH6
2.4.1.18	GH13 GH57
2.4.1.19	GH13
2.4.1.20	GH94
2.4.1.25	GH13 GH57 GH77 GH133
2.4.1.31	GH94
2.4.1.49	GH94
2.4.1.64	GH65
2.4.1.67	GH36
2.4.1.82	GH36
2.4.1.99	GH32
2.4.1.100	GH32
2.4.1.140	GH70
2.4.1.161	GH31
2.4.1.183	GH13
2.4.1.207	GH12 GH16
2.4.1.211	GH112
2.4.1.216	GH65
2.4.1.230	GH65
2.4.1.243	GH32
2.4.1.247	GH112
2.4.1.248	GH66
2.4.1.279	GH65
2.4.1.281	GH130
2.4.1.282	GH65
2.4.1.319	GH130
2.4.1.320	GH130
2.4.1.321	GH94
2.4.99.16	GH13
3.1.1.72	GH5 GH11 GH62
3.1.1.73	GH10 GH78
3.2.1.1	GH13 GH14 GH57 GH119
3.2.1.2	GH13 GH14
3.2.1.3	GH15 GH97
3.2.1.4	GH5 GH6 GH7 GH8 GH9 GH10 GH12 GH26 GH44 GH45 GH48 GH51 GH74 GH124 GH148
3.2.1.6	GH9 GH16
3.2.1.7	GH32
3.2.1.8	GH3 GH5 GH8 GH9 GH10 GH11 GH12 GH16 GH26 GH30 GH43 GH44 GH51 GH62 GH98 GH141
3.2.1.10	GH13 GH31
3.2.1.11	GH31 GH49 GH66
3.2.1.14	GH18 GH19 GH23 GH48
3.2.1.15	GH28
3.2.1.17	GH18 GH19 GH22 GH23 GH24 GH25 GH73 GH108
3.2.1.18	GH1 GH33 GH34 GH83 GH156
3.2.1.20	GH4 GH13 GH31 GH63 GH76 GH97 GH122
3.2.1.21	GH1 GH2 GH3 GH5 GH9 GH16 GH30 GH39 GH116
3.2.1.22	GH4 GH27 GH31 GH36 GH57 GH97 GH110
3.2.1.23	GH1 GH2 GH3 GH35 GH39 GH42 GH50 GH59 GH147
3.2.1.24	GH31 GH38 GH92
3.2.1.25	GH1 GH2 GH5
3.2.1.26	GH32 GH68 GH100
3.2.1.28	GH13 GH15 GH37 GH65
3.2.1.31	GH1 GH2 GH30 GH79 GH137 GH154
3.2.1.32	GH8 GH11 GH26
3.2.1.33	GH13 GH133
3.2.1.35	GH16 GH56 GH84
3.2.1.36	GH79
3.2.1.37	GH1 GH2 GH3 GH5 GH10 GH30 GH39 GH43 GH51 GH52 GH54 GH116 GH120
3.2.1.38	GH1 GH3 GH30 GH35
3.2.1.39	GH5 GH16 GH17 GH55 GH64 GH81 GH128 GH152 GH157 GH158
3.2.1.40	GH28 GH33 GH78 GH106
3.2.1.41	GH13 GH57
3.2.1.45	GH3 GH5 GH30 GH116
3.2.1.46	GH59
3.2.1.48	GH31
3.2.1.49	GH27 GH36 GH109 GH129
3.2.1.50	GH89
3.2.1.51	GH29 GH141 GH151
3.2.1.52	GH3 GH5 GH18 GH20 GH84 GH116
3.2.1.53	GH123
3.2.1.54	GH13 GH57
3.2.1.55	GH2 GH3 GH5 GH10 GH43 GH51 GH54 GH62 GH155
3.2.1.57	GH49
3.2.1.58	GH3 GH5 GH16 GH17 GH55
3.2.1.59	GH71 GH87
3.2.1.60	GH13
3.2.1.61	GH87
3.2.1.62	GH1
3.2.1.63	GH29 GH95
3.2.1.64	GH32
3.2.1.65	GH32
3.2.1.67	GH4 GH28
3.2.1.68	GH13
3.2.1.70	GH13 GH15
3.2.1.71	GH144 GH162
3.2.1.73	GH5 GH6 GH7 GH8 GH9 GH11 GH12 GH16 GH17 GH26 GH51
3.2.1.74	GH1 GH3 GH5 GH9
3.2.1.75	GH5 GH30
3.2.1.76	GH39
3.2.1.78	GH5 GH9 GH26 GH44 GH113 GH134
3.2.1.80	GH32
3.2.1.81	GH16 GH50 GH86 GH118
3.2.1.82	GH28
3.2.1.83	GH16
3.2.1.84	GH31 GH63
3.2.1.85	GH1
3.2.1.86	GH1 GH4
3.2.1.88	GH27 GH97
3.2.1.89	GH53 GH147
3.2.1.91	GH5 GH6 GH9
3.2.1.93	GH13
3.2.1.94	GH27
3.2.1.95	GH49
3.2.1.96	GH18 GH20 GH73 GH85
3.2.1.97	GH101
3.2.1.98	GH13
3.2.1.99	GH43
3.2.1.100	GH26
3.2.1.101	GH76
3.2.1.102	GH98
3.2.1.103	GH16
3.2.1.104	GH5
3.2.1.105	GH1
3.2.1.106	GH63
3.2.1.107	GH65
3.2.1.108	GH1
3.2.1.109	GH114
3.2.1.111	GH29
3.2.1.113	GH38 GH47 GH92
3.2.1.114	GH38 GH92
3.2.1.116	GH13
3.2.1.117	GH1
3.2.1.118	GH1
3.2.1.119	GH1
3.2.1.120	GH3
3.2.1.122	GH4
3.2.1.123	GH5
3.2.1.125	GH1
3.2.1.126	GH3
3.2.1.129	GH58
3.2.1.130	GH99
3.2.1.131	GH67 GH115
3.2.1.132	GH3 GH5 GH7 GH8 GH46 GH75 GH80
3.2.1.133	GH13
3.2.1.135	GH13
3.2.1.136	GH30
3.2.1.139	GH4 GH67
3.2.1.140	GH20 GH136
3.2.1.141	GH13
3.2.1.145	GH16 GH43
3.2.1.147	GH1
3.2.1.149	GH1 GH5
3.2.1.150	GH74
3.2.1.151	GH5 GH9 GH12 GH16 GH26 GH44 GH74
3.2.1.152	GH2
3.2.1.153	GH32
3.2.1.154	GH32
3.2.1.156	GH8
3.2.1.157	GH82
3.2.1.158	GH96
3.2.1.161	GH1
3.2.1.164	GH5 GH30
3.2.1.165	GH2 GH9 GH35
3.2.1.166	GH79
3.2.1.167	GH79
3.2.1.169	GH84
3.2.1.170	GH38 GH63
3.2.1.171	GH28
3.2.1.172	GH105
3.2.1.173	GH28
3.2.1.174	GH78 GH106
3.2.1.175	GH1 GH17
3.2.1.176	GH7 GH9 GH48
3.2.1.177	GH31
3.2.1.178	GH16 GH86
3.2.1.181	GH16
3.2.1.182	GH1
3.2.1.185	GH2 GH127 GH137 GH142 GH143 GH146
3.2.1.17	GH23
3.5.2.17	GH1
4.2.2.n1	GH23 GH102 GH103 GH104
4.2.2.13	GH31
4.2.2.15	GH33
4.2.2.16	GH32
4.2.2.17	GH91
4.2.2.18	GH91
5.4.99.11	GH13
5.4.99.15	GH13
5.4.99.16	GH13
4.2.2.1	PL8 PL16 PL29 PL30 PL33
4.2.2.2	PL1 PL2 PL3 PL9 PL10
4.2.2.3	PL5 PL6 PL7 PL14 PL15 PL17 PL18 PL32 PL36
4.2.2.5	PL8
4.2.2.6	PL22
4.2.2.7	PL12 PL13 PL15 PL21
4.2.2.8	PL12 PL13 PL15 PL21
4.2.2.9	PL1 PL2 PL9
4.2.2.10	PL1
4.2.2.11	PL6 PL7 PL18
4.2.2.12	PL8
4.2.2.14	PL7 PL14 PL20 PL31
4.2.2.19	PL6
4.2.2.20	PL8 PL29 PL33
4.2.2.23	PL4 PL9 PL11
4.2.2.24	PL11 PL26
4.2.2.25	PL33
4.2.2.26	PL6 PL7 PL14 PL15 PL17
